Episode,X,Y,Z
1,-15.363,1.184545,-17.14225
1,-15.31389,1.184545,-17.0839
1,-15.26478,1.184545,-17.02555
1,-15.21567,1.184545,-16.9672
1,-15.16656,1.184545,-16.90885
1,-15.13497,1.184545,-16.88656
1,-15.10338,1.184545,-16.86427
1,-15.07179,1.184545,-16.84197
1,-15.0402,1.184545,-16.81968
1,-15.00861,1.184545,-16.79739
1,-14.99994,1.184545,-16.74698
1,-14.99128,1.184545,-16.69658
1,-14.98261,1.184545,-16.64618
1,-14.97395,1.184545,-16.59577
1,-14.96528,1.184545,-16.54537
1,-14.92068,1.184545,-16.48916
1,-14.87608,1.184545,-16.43295
1,-14.83147,1.184545,-16.37674
1,-14.78687,1.184545,-16.32053
1,-14.74227,1.184545,-16.26432
1,-14.71535,1.184545,-16.23586
1,-14.68843,1.184545,-16.20741
1,-14.6615,1.184545,-16.17895
1,-14.63458,1.184545,-16.15049
1,-14.60766,1.184545,-16.12203
1,-14.57995,1.184545,-16.09992
1,-14.55224,1.184545,-16.0778
1,-14.52453,1.184545,-16.05569
1,-14.49682,1.184545,-16.03358
1,-14.46911,1.184545,-16.01147
1,-14.45792,1.184545,-16.00253
1,-14.44673,1.184545,-15.9936
1,-14.43554,1.184545,-15.98466
1,-14.42435,1.184545,-15.97573
1,-14.41316,1.184545,-15.96679
1,-14.36473,1.184545,-15.94107
1,-14.31631,1.184545,-15.91535
1,-14.26788,1.184545,-15.88963
1,-14.21946,1.184545,-15.86391
1,-14.17103,1.184545,-15.83819
1,-14.13201,1.184545,-15.82524
1,-14.093,1.184545,-15.81229
1,-14.05398,1.184545,-15.79935
1,-14.01496,1.184545,-15.7864
1,-13.97595,1.184545,-15.77345
1,-13.91949,1.184545,-15.75427
1,-13.86304,1.184545,-15.73509
1,-13.80658,1.184545,-15.7159
1,-13.75013,1.184545,-15.69672
1,-13.69367,1.184545,-15.67754
1,-13.67053,1.184545,-15.66103
1,-13.64738,1.184545,-15.64452
1,-13.62424,1.184545,-15.62801
1,-13.6011,1.184545,-15.6115
1,-13.57795,1.184545,-15.59499
1,-13.56461,1.184545,-15.58472
1,-13.55127,1.184545,-15.57446
1,-13.53793,1.184545,-15.56419
1,-13.52458,1.184545,-15.55392
1,-13.51124,1.184545,-15.54365
1,-13.49844,1.184545,-15.51274
1,-13.48565,1.184545,-15.48182
1,-13.47285,1.184545,-15.4509
1,-13.46005,1.184545,-15.41998
1,-13.44725,1.184545,-15.38906
1,-13.50725,1.184545,-15.39347
1,-13.56725,1.184545,-15.39787
1,-13.62725,1.184545,-15.40228
1,-13.68725,1.184545,-15.40669
1,-13.74725,1.184545,-15.41109
1,-13.78079,1.184545,-15.44227
1,-13.81434,1.184545,-15.47344
1,-13.84788,1.184545,-15.50462
1,-13.88143,1.184545,-15.5358
1,-13.91497,1.184545,-15.56697
1,-13.94883,1.184545,-15.5877
1,-13.98268,1.184545,-15.60842
1,-14.01654,1.184545,-15.62915
1,-14.05039,1.184545,-15.64987
1,-14.08425,1.184545,-15.6706
1,-14.11734,1.184545,-15.67637
1,-14.15044,1.184545,-15.68214
1,-14.18353,1.184545,-15.68792
1,-14.21663,1.184545,-15.69369
1,-14.24972,1.184545,-15.69946
1,-14.2698,1.184545,-15.70068
1,-14.28988,1.184545,-15.70189
1,-14.30995,1.184545,-15.7031
1,-14.33003,1.184545,-15.70432
1,-14.35011,1.184545,-15.70553
1,-14.38898,1.184545,-15.72413
1,-14.42786,1.184545,-15.74273
1,-14.46674,1.184545,-15.76134
1,-14.50562,1.184545,-15.77994
1,-14.5445,1.184545,-15.79854
1,-14.58509,1.184545,-15.80822
1,-14.62568,1.184545,-15.8179
1,-14.66626,1.184545,-15.82758
1,-14.70685,1.184545,-15.83726
1,-14.74743,1.184545,-15.84694
1,-14.78515,1.184545,-15.85093
1,-14.82287,1.184545,-15.85493
1,-14.86058,1.184545,-15.85892
1,-14.8983,1.184545,-15.86291
1,-14.93601,1.184545,-15.8669
1,-14.98203,1.184545,-15.8612
1,-15.02805,1.184545,-15.85549
1,-15.07407,1.184545,-15.84978
1,-15.12009,1.184545,-15.84408
1,-15.16611,1.184545,-15.83837
1,-15.20977,1.184545,-15.83106
1,-15.25342,1.184545,-15.82375
1,-15.29708,1.184545,-15.81644
1,-15.34074,1.184545,-15.80912
1,-15.38439,1.184545,-15.80181
1,-15.40101,1.184545,-15.79122
1,-15.41763,1.184545,-15.78062
1,-15.43424,1.184545,-15.77003
1,-15.45086,1.184545,-15.75943
1,-15.46747,1.184545,-15.74884
1,-15.50801,1.184545,-15.72527
1,-15.54856,1.184545,-15.70171
1,-15.5891,1.184545,-15.67814
1,-15.62965,1.184545,-15.65458
1,-15.67019,1.184545,-15.63101
1,-15.70759,1.184545,-15.63044
1,-15.74499,1.184545,-15.62987
1,-15.78238,1.184545,-15.6293
1,-15.81978,1.184545,-15.62873
1,-15.85717,1.184545,-15.62815
1,-15.88436,1.184545,-15.62836
1,-15.91154,1.184545,-15.62857
1,-15.93872,1.184545,-15.62878
1,-15.9659,1.184545,-15.62899
1,-15.99308,1.184545,-15.6292
1,-16.01315,1.184545,-15.60785
1,-16.03322,1.184545,-15.5865
1,-16.0533,1.184545,-15.56515
1,-16.07337,1.184545,-15.5438
1,-16.09344,1.184545,-15.52245
1,-16.12793,1.184545,-15.51117
1,-16.16241,1.184545,-15.49988
1,-16.1969,1.184545,-15.48859
1,-16.23139,1.184545,-15.47731
1,-16.26588,1.184545,-15.46602
1,-16.31446,1.184545,-15.45711
1,-16.36305,1.184545,-15.44819
1,-16.41163,1.184544,-15.43927
1,-16.46022,1.184545,-15.43036
1,-16.5088,1.184544,-15.42144
1,-16.54841,1.184545,-15.38773
1,-16.58802,1.184545,-15.35403
1,-16.62764,1.184545,-15.32032
1,-16.66725,1.184545,-15.28662
1,-16.70686,1.184545,-15.25291
